locus_tag	ftype	length_bp	gene	EC_number	COG	product
HKLGDHBK_00001	CDS	747	ppm1	2.4.1.-		Polyprenol monophosphomannose synthase
HKLGDHBK_00002	CDS	801				hypothetical protein
HKLGDHBK_00003	CDS	1281				hypothetical protein
HKLGDHBK_00004	CDS	1353	allB	3.5.2.5	COG0044	Allantoinase
HKLGDHBK_00005	CDS	822				hypothetical protein
HKLGDHBK_00006	CDS	414				hypothetical protein
HKLGDHBK_00007	CDS	351				hypothetical protein
HKLGDHBK_00008	CDS	1758	ruvB_1	3.6.4.12		Holliday junction ATP-dependent DNA helicase RuvB
HKLGDHBK_00009	CDS	1038	asnA	6.3.1.1	COG2502	Aspartate--ammonia ligase
HKLGDHBK_00010	tRNA	75				tRNA-Arg(ccg)
HKLGDHBK_00011	CDS	567	purN	2.1.2.2		Phosphoribosylglycinamide formyltransferase
HKLGDHBK_00012	CDS	378	hslR		COG1188	Heat shock protein 15
HKLGDHBK_00013	CDS	585	pth	3.1.1.29	COG0193	Peptidyl-tRNA hydrolase
HKLGDHBK_00014	CDS	606	rplY			50S ribosomal protein L25
HKLGDHBK_00015	CDS	102				hypothetical protein
HKLGDHBK_00016	CDS	930				hypothetical protein
HKLGDHBK_00017	CDS	321	yajC		COG1862	Sec translocon accessory complex subunit YajC
HKLGDHBK_00018	CDS	993				hypothetical protein
HKLGDHBK_00019	CDS	570	coaE	2.7.1.24	COG0237	Dephospho-CoA kinase
HKLGDHBK_00020	CDS	435				hypothetical protein
HKLGDHBK_00021	CDS	942	yrbG		COG0530	Inner membrane protein YrbG
HKLGDHBK_00022	CDS	486	queF	1.7.1.13	COG0780	NADPH-dependent 7-cyano-7-deazaguanine reductase
HKLGDHBK_00023	CDS	816				hypothetical protein
HKLGDHBK_00024	CDS	1773				hypothetical protein
HKLGDHBK_00025	CDS	543				hypothetical protein
HKLGDHBK_00026	CDS	2847	lptD_1			LPS-assembly protein LptD
HKLGDHBK_00027	CDS	1224	pepT	3.4.11.4	COG2195	Peptidase T
HKLGDHBK_00028	CDS	2301	kefB_1			Glutathione-regulated potassium-efflux system protein KefB
HKLGDHBK_00029	CDS	2760	btuD_1	3.6.3.33		Vitamin B12 import ATP-binding protein BtuD
HKLGDHBK_00030	CDS	1800				hypothetical protein
HKLGDHBK_00031	CDS	3057				hypothetical protein
HKLGDHBK_00032	CDS	171				hypothetical protein
HKLGDHBK_00033	CDS	1155	aroB	4.2.3.4		3-dehydroquinate synthase
HKLGDHBK_00034	CDS	2982				hypothetical protein
HKLGDHBK_00035	CDS	1392				hypothetical protein
HKLGDHBK_00036	CDS	1620				hypothetical protein
HKLGDHBK_00037	CDS	2853				hypothetical protein
HKLGDHBK_00038	CDS	1707	udk_1	2.7.1.48		Uridine kinase
HKLGDHBK_00039	CDS	123				hypothetical protein
HKLGDHBK_00040	CDS	153				hypothetical protein
HKLGDHBK_00041	CDS	465				hypothetical protein
HKLGDHBK_00042	CDS	105				hypothetical protein
HKLGDHBK_00043	CDS	1731	lysS	6.1.1.6		Lysine--tRNA ligase
HKLGDHBK_00044	CDS	996	gpsA	1.1.1.94		Glycerol-3-phosphate dehydrogenase [NAD(P)+]
HKLGDHBK_00045	CDS	1356	pgi	5.3.1.9	COG0166	Glucose-6-phosphate isomerase
HKLGDHBK_00046	CDS	729	gph_1	3.1.3.18		Phosphoglycolate phosphatase
HKLGDHBK_00047	CDS	1317				hypothetical protein
HKLGDHBK_00048	CDS	1128	mnmA	2.8.1.13		tRNA-specific 2-thiouridylase MnmA
HKLGDHBK_00049	CDS	237				hypothetical protein
HKLGDHBK_00050	CDS	1200				hypothetical protein
HKLGDHBK_00051	CDS	1017	rsgA	3.6.1.-	COG1162	Small ribosomal subunit biogenesis GTPase RsgA
HKLGDHBK_00052	CDS	561	frr		COG0233	Ribosome-recycling factor
HKLGDHBK_00053	CDS	465	msrC	1.8.4.14	COG1956	Free methionine-R-sulfoxide reductase
HKLGDHBK_00054	CDS	840	rsmA	2.1.1.182	COG0030	Ribosomal RNA small subunit methyltransferase A
HKLGDHBK_00055	CDS	996				hypothetical protein
HKLGDHBK_00056	CDS	1458	pepD_1	3.4.13.18	COG2195	Cytosol non-specific dipeptidase
HKLGDHBK_00057	CDS	927				hypothetical protein
HKLGDHBK_00058	CDS	1764				hypothetical protein
HKLGDHBK_00059	tRNA	72				tRNA-Gln(ctg)
HKLGDHBK_00060	CDS	360	rsfS			Ribosomal silencing factor RsfS
HKLGDHBK_00061	CDS	2097	ftsH	3.4.24.-	COG0465	ATP-dependent zinc metalloprotease FtsH
HKLGDHBK_00062	CDS	957				hypothetical protein
HKLGDHBK_00063	CDS	948	eglS	3.2.1.4	COG2730	Endoglucanase
HKLGDHBK_00064	CDS	1176	lpxB	2.4.1.182	COG0763	Lipid-A-disaccharide synthase
HKLGDHBK_00065	CDS	765	surE	3.1.3.5	COG0496	5'-nucleotidase SurE
HKLGDHBK_00066	CDS	774	soj	3.6.-.-	COG1192	Sporulation initiation inhibitor protein Soj
HKLGDHBK_00067	CDS	276				hypothetical protein
HKLGDHBK_00068	CDS	909	parB		COG1475	putative chromosome-partitioning protein ParB
HKLGDHBK_00069	CDS	717				hypothetical protein
HKLGDHBK_00070	CDS	2286	relA_1	2.7.6.5	COG0317	GTP pyrophosphokinase
HKLGDHBK_00071	CDS	1008	pemA	3.1.1.11		Pectinesterase A
HKLGDHBK_00072	CDS	348				hypothetical protein
HKLGDHBK_00073	CDS	2634	alaS	6.1.1.7	COG0013	Alanine--tRNA ligase
HKLGDHBK_00074	CDS	648				hypothetical protein
HKLGDHBK_00075	CDS	1494	recD2_1	3.6.4.12		ATP-dependent RecD-like DNA helicase
HKLGDHBK_00076	CDS	447				hypothetical protein
HKLGDHBK_00077	CDS	708				hypothetical protein
HKLGDHBK_00078	CDS	531	rsmD	2.1.1.171	COG0742	Ribosomal RNA small subunit methyltransferase D
HKLGDHBK_00079	CDS	1965	dnaG	2.7.7.-		DNA primase
HKLGDHBK_00080	CDS	1449	clsA	2.7.8.-	COG1502	Major cardiolipin synthase ClsA
HKLGDHBK_00081	CDS	873	carD	1.3.1.108	COG2086	Caffeyl-CoA reductase-Etf complex subunit CarD
HKLGDHBK_00082	CDS	1023	carE	1.3.1.108	COG2025	Caffeyl-CoA reductase-Etf complex subunit CarE
HKLGDHBK_00083	CDS	399				hypothetical protein
HKLGDHBK_00084	CDS	1707	caiA	1.3.99.-		Crotonobetainyl-CoA dehydrogenase
HKLGDHBK_00085	CDS	909				hypothetical protein
HKLGDHBK_00086	CDS	852	vanW		COG2720	Vancomycin B-type resistance protein VanW
HKLGDHBK_00087	CDS	630				hypothetical protein
HKLGDHBK_00088	CDS	243				hypothetical protein
HKLGDHBK_00089	CDS	642				hypothetical protein
HKLGDHBK_00090	CDS	243				hypothetical protein
HKLGDHBK_00091	CDS	2070				hypothetical protein
HKLGDHBK_00092	CDS	9324				hypothetical protein
HKLGDHBK_00093	CDS	1335				hypothetical protein
HKLGDHBK_00094	CDS	1620	nadB	1.4.3.16	COG0029	L-aspartate oxidase
HKLGDHBK_00095	CDS	7656				hypothetical protein
HKLGDHBK_00096	CDS	615	ruvA	3.6.4.12	COG0632	Holliday junction ATP-dependent DNA helicase RuvA
HKLGDHBK_00097	CDS	900	ddh	1.4.1.16		Meso-diaminopimelate D-dehydrogenase
HKLGDHBK_00098	CDS	2331				hypothetical protein
HKLGDHBK_00099	CDS	1563				hypothetical protein
HKLGDHBK_00100	CDS	2727	susC_1			TonB-dependent receptor SusC
HKLGDHBK_00101	CDS	678	queC	6.3.4.20	COG0603	7-cyano-7-deazaguanine synthase
HKLGDHBK_00102	CDS	1188				hypothetical protein
HKLGDHBK_00103	CDS	786	vanX	3.4.13.22	COG2173	D-alanyl-D-alanine dipeptidase
HKLGDHBK_00104	CDS	582	resA_1			Thiol-disulfide oxidoreductase ResA
HKLGDHBK_00105	CDS	1416	pepC	3.4.22.40	COG3579	Aminopeptidase C
HKLGDHBK_00106	CDS	1953	dxs	2.2.1.7	COG1154	1-deoxy-D-xylulose-5-phosphate synthase
HKLGDHBK_00107	CDS	1344	trkA		COG0569	Trk system potassium uptake protein TrkA
HKLGDHBK_00108	CDS	1491	trkH		COG0168	Trk system potassium uptake protein TrkH
HKLGDHBK_00109	CDS	714				hypothetical protein
HKLGDHBK_00110	CDS	681				hypothetical protein
HKLGDHBK_00111	CDS	681				hypothetical protein
HKLGDHBK_00112	CDS	999				hypothetical protein
HKLGDHBK_00113	CDS	816				hypothetical protein
HKLGDHBK_00114	CDS	1560	sdcS_1		COG0471	Sodium-dependent dicarboxylate transporter SdcS
HKLGDHBK_00115	CDS	318				hypothetical protein
